Date,Rice,Wheat,Maize,Potatoes,Onions
2011-10-01 00:00:00,176.3,165.3,194.1,154.9,231.3
2011-11-01 00:00:00,175.4,164.3,194.1,140.3,222.9
2011-12-01 00:00:00,173.1,166.6,200.4,110.8,180.1
2012-01-01 00:00:00,172.2,169.2,210.1,98.9,151.0
2012-02-01 00:00:00,173.0,170.1,213.8,105.9,133.8
2012-03-01 00:00:00,175.4,172.1,220.4,126.6,136.0
2012-04-01 00:00:00,177.3,179.3,225.4,173.8,139.6
2012-05-01 00:00:00,178.0,178.7,220.5,203.5,138.2
2012-06-01 00:00:00,181.6,180.1,219.2,232.8,157.9
2012-07-01 00:00:00,186.8,181.8,221.6,247.9,180.7
2012-08-01 00:00:00,190.8,190.8,229.5,264.3,194.1
2012-09-01 00:00:00,195.1,198.4,234.1,242.7,194.0
2012-10-01 00:00:00,202.7,198.0,232.2,231.0,210.2
2012-11-01 00:00:00,202.2,202.5,233.9,235.5,259.8
2012-12-01 00:00:00,202.7,204.3,243.2,175.1,311.2
2013-01-01 00:00:00,202.8,206.2,250.4,171.2,340.0
2013-02-01 00:00:00,203.7,207.2,249.3,159.0,377.8
2013-03-01 00:00:00,206.2,205.4,249.1,146.6,286.6
2013-04-01 00:00:00,207.6,203.6,249.9,172.7,266.4
2013-05-01 00:00:00,210.9,200.8,246.8,206.1,268.5
2013-06-01 00:00:00,218.7,205.2,254.5,213.3,339.1
2013-07-01 00:00:00,226.3,206.6,254.9,232.7,445.3
2013-08-01 00:00:00,231.5,208.7,255.3,224.0,723.1
2013-09-01 00:00:00,231.4,212.9,260.4,212.9,845.6
2013-10-01 00:00:00,232.0,213.6,247.1,231.4,826.7
2013-11-01 00:00:00,232.5,216.7,251.1,317.9,782.4
2013-12-01 00:00:00,230.1,219.9,254.0,267.5,430.4
2014-01-01 00:00:00,230.0,220.2,248.6,198.6,341.6
2014-02-01 00:00:00,231.5,220.9,245.7,171.3,273.9
2014-03-01 00:00:00,232.1,218.1,246.6,192.6,243.6
2014-04-01 00:00:00,234.1,212.6,245.6,229.7,238.2
2014-05-01 00:00:00,237.8,207.7,240.3,282.6,259.2
2014-06-01 00:00:00,241.1,207.0,242.5,312.4,300.4
2014-07-01 00:00:00,244.7,208.8,253.9,344.0,408.5
2014-08-01 00:00:00,246.8,210.2,249.3,371.3,401.0
2014-09-01 00:00:00,247.3,209.8,234.6,411.9,354.7
2014-10-01 00:00:00,247.0,209.5,230.5,423.1,338.9
2014-11-01 00:00:00,245.4,211.9,232.8,426.5,349.8
2014-12-01 00:00:00,240.3,214.7,235.0,268.9,345.6
2015-01-01 00:00:00,239.2,216.6,241.5,182.7,330.2
2015-02-01 00:00:00,239.1,215.6,243.4,162.4,345.0
2015-03-01 00:00:00,233.6,215.5,251.3,151.2,332.5
2015-04-01 00:00:00,234.0,216.1,250.0,135.4,309.6
2015-05-01 00:00:00,234.4,213.1,246.2,139.3,316.6
2015-06-01 00:00:00,237.2,210.8,246.1,151.2,357.7
2015-07-01 00:00:00,237.7,212.9,245.5,175.9,406.5
2015-08-01 00:00:00,237.2,214.6,249.2,179.1,699.5
2015-09-01 00:00:00,238.0,216.7,251.3,173.1,782.8
2015-10-01 00:00:00,238.6,219.1,249.8,177.3,642.3
2015-11-01 00:00:00,237.4,221.3,259.9,201.0,505.5
2015-12-01 00:00:00,237.3,223.1,267.1,173.7,408.9
